Keyword_id,Faculty_id,Faculty_score
3,69,41.7466
191,69,35.387
759,69,129.351
923,69,33.529
2668,69,21.9116
3125,69,47.7423
3525,69,19.3938
4945,69,58.12
5268,69,44.5951
6138,69,24.5307
7198,69,39.8623
13448,69,17.6077
24329,69,12.1829
24886,69,13.5275
29896,69,12.1248
56535,69,18.3887
61163,69,40.5269
489,70,0
1274,70,0
5154,70,0
6617,70,0
12112,70,0
17378,70,0
17714,70,0
22525,70,0
34991,70,0
30,71,27.2069
223,71,61.169
394,71,15.4856
1778,71,55.8467
3345,71,27.9551
4079,71,69.2034
4538,71,19.9431
7227,71,15.0363
9189,71,16.0868
9790,71,16.3747
10384,71,49.1056
12770,71,32.3527
13150,71,291.58
29465,71,184.069
30029,71,198.347
34137,71,24.8177
40241,71,22.873
3,72,15.6533
41,72,26.7312
154,72,27.1169
1042,72,14.0715
3063,72,35.6895
4714,72,23.5297
6354,72,21.8666
6739,72,21.7336
8798,72,20.5246
9007,72,41.2826
12910,72,151.635
13000,72,29.6173
16127,72,49.2256
19573,72,105.894
24430,72,41.5803
38539,72,36.4609
49154,72,18.3899
1261,73,80.6262
2055,73,109.856
2626,73,382.171
3940,73,123.202
5053,73,127.035
8010,73,390.55
11247,73,204.159
11442,73,304.518
13430,73,465.762
13560,73,481.884
38168,73,88.9427
41918,73,106.916
54004,73,201.443
56622,73,123.483
58931,73,173.997
65264,73,86.0667
74478,73,836.323
69,74,521.75
154,74,677.709
693,74,49.0878
1517,74,50.3443
3706,74,94.8701
5204,74,97.0424
9294,74,45.1681
13771,74,72.9198
14223,74,207.405
15853,74,121.301
16628,74,90.865
18506,74,125.605
20572,74,82.9326
28214,74,380.828
28475,74,123.688
28696,74,87.5039
38505,74,148.77
167,75,44.1035
1419,75,124.527
4951,75,162.871
8241,75,41.4731
9445,75,462.758
10472,75,52.0707
12137,75,334.238
14141,75,152.998
16354,75,79.6496
22163,75,122.474
24430,75,165.006
25225,75,82.084
29137,75,44.9091
31173,75,37.5525
36121,75,102.648
64778,75,39.7878
65138,75,42.7734
5,76,18.481
171,76,12.2024
915,76,17.4278
1602,76,9.29449
4051,76,7.34434
4599,76,7.72127
5210,76,7.87388
6180,76,9.4468
7854,76,30.2677
12787,76,10.3558
25462,76,30.3674
28967,76,11.7801
30954,76,6.55328
36020,76,17.1465
43041,76,5.29538
43056,76,10.8068
62813,76,6.93388
945,77,3.0844
1234,77,25.6323
2257,77,2.3871
2741,77,3.14184
2983,77,5.77373
3670,77,5.12008
6926,77,4.61761
11347,77,4.35222
15708,77,3.7049
17671,77,3.30188
20240,77,2.95052
22384,77,5.91725
25795,77,3.47798
32805,77,20.7867
42624,77,2.1357
43498,77,17.0898
59297,77,5.82728
3400,78,119.852
3676,78,139.13
4079,78,261.896
4589,78,146.426
5091,78,217.205
9356,78,1033
13522,78,196.31
13920,78,555.45
14028,78,147.687
17569,78,108.558
19528,78,277.053
19767,78,139.011
20727,78,169.753
27644,78,141.344
34969,78,195.972
55683,78,178.013
66480,78,187.184
449,79,6.00758
1513,79,26.5122
1638,79,5.21873
2081,79,6.18433
2953,79,7.80525
3674,79,11.8793
5091,79,11.7119
7905,79,6.64806
8969,79,5.39989
10384,79,16.8066
11581,79,16.3629
13980,79,5.41809
16233,79,10.7675
21169,79,11.8003
21859,79,6.19139
31817,79,73.7563
58782,79,5.15297
2055,80,864.823
4396,80,159.387
4888,80,140.459
11740,80,274.137
12910,80,243.879
13689,80,150.846
18605,80,279.784
19665,80,253.892
20727,80,253.095
23708,80,170.04
25985,80,133.067
